qtr,MassTransit_qtr,Transport_qtr,LandPassTerm_qtr,unemployment_qtr,bus_qtr,rail_qtr,OtherTransMod_qtr,TransEmply_qtr,rgdp,covid
2005 Q1,734000000,3389000000,247000000,0.053000000000000005,434231251.6666667,322400366.3333333,12122580.666666666,408266.6666666667,15844727000000,0
2005 Q2,817000000,3911000000,243000000,0.051000000000000004,444886834,341819180.6666667,12960092.666666666,404300,15922782000000,0
2005 Q3,864000000,4621000000,210000000,0.04966666666666667,446276845.3333333,335565302,13660750.333333334,356233.3333333333,16047587000000,0
2005 Q4,793000000,4336000000,209000000,0.04966666666666667,445180558,338063142.3333333,12151890.666666666,416600,16136734000000,0
2006 Q1,714000000,3398000000,174000000,0.04733333333333333,448096603.6666667,333357936.6666667,12696543.333333334,417100,16353835000000,0
2006 Q2,928000000,4430000000,235000000,0.04633333333333333,447339133.3333333,352952559,13685354,416966.6666666667,16396151000000,0
2006 Q3,834000000,5061000000,250000000,0.04633333333333333,443890762,350619109.6666667,14076885.333333334,367233.3333333333,16420738000000,0
2006 Q4,753000000,4806000000,311000000,0.044333333333333336,452917676.6666667,354173862.3333333,12926680.333333334,424600,16561866000000,0
2007 Q1,731000000,3920000000,249000000,0.045,441606618,348693477.6666667,13118466,427100,16611690000000.002,0
2007 Q2,920000000,5081000000,283000000,0.045,449594219.6666667,370040463.3333333,14232198.666666666,425000,16713314000000,0
2007 Q3,982000000,6216000000,366000000,0.04666666666666667,445644019,363652730,15068588.666666666,384433.3333333333,16809587000000,0
2007 Q4,955000000,5928000000,403000000,0.048,454286588.6666667,372281685.6666667,13975664.333333334,441233.3333333333,16915191000000,0
2008 Q1,890000000,4738000000,414000000,0.05,449727969.3333333,357643622.3333333,13989000.333333334,439233.3333333333,16843003000000,0
2008 Q2,1119000000,5706000000,535000000,0.05333333333333334,470875451.6666667,386033643.6666667,15226603.666666666,443000,16943291000000,0
2008 Q3,1177000000,6566000000,586000000,0.06,474789154.6666667,382992449,16039133.666666666,394466.6666666667,16854295000000,0
