Date,State and Local Government Construction Spending - Mass Transit,State and Local Government Construction Spending - Land Passenger Terminal,State and Local Government Construction Spending - Transportation,Transit Ridership - Other Transit Modes - Adjusted,Transit Ridership - Fixed Route Bus - Adjusted,Transit Ridership - Urban Rail - Adjusted,Transportation Employment - Transit and ground passenger transportation,Unemployment Rate - Seasonally Adjusted,covid
2005-01-01T00:00:00Z,224000000,105000000,1125000000,11611875,419211886,311945546,407900,0.053,0
2005-02-01T00:00:00Z,246000000,65000000,1111000000,11445295,406190913,305374953,407700,0.054000000000000006,0
2005-03-01T00:00:00Z,264000000,77000000,1153000000,13310572,477290956,349880600,409200,0.052000000000000005,0
2005-04-01T00:00:00Z,268000000,80000000,1262000000,12907373,446975129,335620384,413700,0.052000000000000005,0
2005-05-01T00:00:00Z,287000000,80000000,1273000000,12763833,459164298,342804244,415300,0.051,0
2005-06-01T00:00:00Z,262000000,83000000,1376000000,13209072,428521075,347032914,383900,0.05,0
2005-07-01T00:00:00Z,293000000,78000000,1447000000,13521836,426997393,327366213,335600,0.05,0
2005-08-01T00:00:00Z,295000000,67000000,1593000000,14296142,445209357,340440029,328100,0.049,0
2005-09-01T00:00:00Z,276000000,65000000,1581000000,13164273,466623786,338889664,405000,0.05,0
2005-10-01T00:00:00Z,275000000,81000000,1599000000,12724915,478576712,352622258,411700,0.05,0
2005-11-01T00:00:00Z,255000000,73000000,1483000000,12004340,441704489,344979889,420000,0.05,0
2005-12-01T00:00:00Z,263000000,55000000,1254000000,11726417,415260473,316587280,418100,0.049,0
2006-01-01T00:00:00Z,225000000,51000000,1095000000,12505513,441716023,330539232,414700,0.047,0
2006-02-01T00:00:00Z,230000000,55000000,1097000000,11848949,415389438,309249282,418200,0.048,0
2006-03-01T00:00:00Z,259000000,68000000,1206000000,13735168,487184350,360285296,418400,0.047,0
2006-04-01T00:00:00Z,278000000,78000000,1366000000,12818348,428975175,333203331,418400,0.047,0
2006-05-01T00:00:00Z,320000000,74000000,1457000000,14180112,460910087,363777923,427400,0.046,0
2006-06-01T00:00:00Z,330000000,83000000,1607000000,14057602,452132138,361876423,405100,0.046,0
2006-07-01T00:00:00Z,282000000,92000000,1621000000,13903911,420036950,338056818,345400,0.047,0
2006-08-01T00:00:00Z,276000000,85000000,1711000000,14898006,448885658,357020265,338900,0.047,0
2006-09-01T00:00:00Z,276000000,73000000,1729000000,13428739,462749678,356780246,417400,0.045,0
2006-10-01T00:00:00Z,283000000,107000000,1727000000,13754109,488527526,363172974,421800,0.044000000000000004,0
2006-11-01T00:00:00Z,258000000,105000000,1605000000,12680862,441013521,360062057,426700,0.045,0
2006-12-01T00:00:00Z,212000000,99000000,1474000000,12345070,429211983,339286556,425300,0.044000000000000004,0
2007-01-01T00:00:00Z,218000000,84000000,1309000000,13003793,436728074,347045319,424100,0.046,0
2007-02-01T00:00:00Z,251000000,82000000,1305000000,12300052,413615837,322952249,429200,0.045,0
2007-03-01T00:00:00Z,262000000,83000000,1306000000,14051553,474475943,376082865,428000,0.044000000000000004,0
2007-04-01T00:00:00Z,279000000,98000000,1563000000,13577513,441524623,358294250,428700,0.045,0
2007-05-01T00:00:00Z,301000000,85000000,1689000000,14758045,468758094,388136492,436000,0.044000000000000004,0
2007-06-01T00:00:00Z,340000000,100000000,1829000000,14361038,438499942,363690648,410300,0.046,0
2007-07-01T00:00:00Z,293000000,116000000,2065000000,15098531,422796510,362257868,358800,0.047,0
2007-08-01T00:00:00Z,381000000,123000000,2049000000,16005421,455465028,371512052,356000,0.046,0
2007-09-01T00:00:00Z,308000000,127000000,2102000000,14101814,458670519,357188270,438500,0.047,0
2007-10-01T00:00:00Z,344000000,177000000,2214000000,15176191,493867709,401551621,443200,0.047,0
2007-11-01T00:00:00Z,322000000,115000000,1991000000,13788556,457421191,367685978,440200,0.047,0
2007-12-01T00:00:00Z,289000000,111000000,1723000000,12962246,411570866,347607458,440300,0.05,0
